,Refnis,Municipality FR,Municipality NL,Population,Size in km²,Population / km²
0,1000,Belgique,België,11431406,30689.368862,372.4874907464951
1,2000,Région flamande,Vlaams Gewest,6589069,13625.54893,483.58191173439934
2,3000,Région wallonne,Waals Gewest,3633795,16901.400088,214.9996438803905
3,4000,Région de Bruxelles-Capitale,Brussels Hoofdstedelijk Gewest,1208542,162.419844,7440.8518702924
4,10000,Province d’Anvers,Provincie Antwerpen,1857986,2876.120363,646.0042576458752
5,11000,Arrondissement d’Anvers,Arrondissement Antwerpen,1051301,1004.125291,1046.9818950113468
6,11001,Aartselaar,Aartselaar,14293,11.015556,1297.5286948747753
7,11002,Anvers,Antwerpen,525935,204.293229,2574.412292440686
8,11004,Boechout,Boechout,13266,20.710028,640.5592498474651
9,11005,Boom,Boom,18244,7.387152,2469.693327008839
10,11007,Borsbeek,Borsbeek,10854,3.901269,2782.1716472255566
11,11008,Brasschaat,Brasschaat,37946,38.580646,983.5501458425554
12,11009,Brecht,Brecht,29268,91.4511,320.0398901708126
13,11013,Edegem,Edegem,22063,8.717948,2530.7560907681486
14,11016,Essen,Essen,19038,47.568895,400.2195131923918
15,11018,Hemiksem,Hemiksem,11559,5.479228,2109.603761697816
16,11021,Hove (Anvers),Hove (Antwerpen),8125,6.018087,1350.096799863478
17,11022,Kalmthout,Kalmthout,18695,59.409054,314.68267446238076
18,11023,Kapellen (Anvers),Kapellen (Antwerpen),26850,37.22078,721.3712340257243
19,11024,Kontich,Kontich,21115,23.801502,887.1288879164013
20,11025,Lint,Lint,8718,5.651541,1542.5881188865126
21,11029,Mortsel,Mortsel,26099,7.784336,3352.758668176708
22,11030,Niel,Niel,10501,5.320952,1973.5190244151797
23,11035,Ranst,Ranst,19008,43.675152,435.2131390407067
24,11037,Rumst,Rumst,15090,20.13422,749.4703047845907
25,11038,Schelle,Schelle,8518,7.77441,1095.6458432215436
26,11039,Schilde,Schilde,19652,36.095679,544.4418984333278
27,11040,Schoten,Schoten,34517,29.493576,1170.3226492440251
28,11044,Stabroek,Stabroek,18710,21.445018,872.4637116182415
29,11050,Wijnegem,Wijnegem,9816,7.89088,1243.9677196966625
30,11052,Wommelgem,Wommelgem,12865,12.990646,990.3279636747857
31,11053,Wuustwezel,Wuustwezel,20970,89.407739,234.54345490159412
32,11054,Zandhoven,Zandhoven,13025,40.082081,324.9581776954146
33,11055,Zoersel,Zoersel,21944,38.686897,567.2204726060091
34,11056,Zwijndrecht,Zwijndrecht,19056,20.241464,941.4338804742581
35,11057,Malle,Malle,15561,51.896226,299.8483935999508
36,12000,Arrondissement de Malines,Arrondissement Mechelen,344818,511.925433,673.5707542000555
37,12002,Berlaar,Berlaar,11527,24.514249,470.2163219440253
38,12005,Bonheiden,Bonheiden,15010,29.19961,514.0479615994872
39,12007,Bornem,Bornem,21366,46.2562,461.90564724296416
40,12009,Duffel,Duffel,17491,22.60482,773.773027168542
41,12014,Heist-op-den-Berg,Heist-op-den-Berg,42681,86.677886,492.40933264108446
42,12021,Lierre,Lier,36242,49.852454,726.9852753888505
43,12025,Malines,Mechelen,86616,65.802169,1316.3091933945216
44,12026,Nijlen,Nijlen,22949,39.204952,585.359727005915
45,12029,Putte,Putte,17800,35.158173,506.2834180831866
46,12035,Sint-Katelijne-Waver,Sint-Katelijne-Waver,20792,36.154982,575.0798050459547
47,12040,Willebroek,Willebroek,26462,27.355211,967.3476837740349
48,12041,Puurs-Sint-Amands,Puurs-Sint-Amands,25882,49.144727,526.6485659794183
49,13000,Arrondissement de Turnhout,Arrondissement Turnhout,461867,1360.069639,339.5906994435893
50,13001,Arendonk,Arendonk,13293,55.148235,241.04125907202652
51,13002,Baerle-Duc,Baarle-Hertog,2760,7.415257,372.20557561255123
52,13003,Balen,Balen,22618,72.985643,309.89656417769726
53,13004,Beerse,Beerse,18084,37.353045,484.1372370043727
54,13006,Dessel,Dessel,9598,27.44715,349.6902228464522
55,13008,Geel,Geel,40353,110.26727,365.9562805898795
56,13010,Grobbendonk,Grobbendonk,11155,28.370116,393.1954314180457
57,13011,Herentals,Herentals,28177,47.949917,587.6339681672442
58,13012,Herenthout,Herenthout,9061,23.610302,383.7731512286459
59,13013,Herselt,Herselt,14523,52.377303,277.27659058733894
60,13014,Hoogstraten,Hoogstraten,21355,105.394433,202.6198100994575
61,13016,Hulshout,Hulshout,10424,17.377579,599.8534088091327
62,13017,Kasterlee,Kasterlee,18655,72.265879,258.1439575376922
63,13019,Lille,Lille,16529,59.625204,277.2149844552314
64,13021,Meerhout,Meerhout,10361,36.536418,283.5800707119127
65,13023,Merksplas,Merksplas,8600,44.616032,192.75582373618525
66,13025,Mol,Mol,36825,114.547123,321.48341255153133
67,13029,Olen,Olen,12505,23.128384,540.6776366217372
68,13031,Oud-Turnhout,Oud-Turnhout,13662,39.169128,348.79510210183895
69,13035,Ravels,Ravels,15009,95.137925,157.7604304487406
70,13036,Retie,Retie,11396,48.501805,234.96032776512132
71,13037,Rijkevorsel,Rijkevorsel,12060,46.852305,257.40462502325124
72,13040,Turnhout,Turnhout,44664,56.710343,787.5812001348678
73,13044,Vorselaar,Vorselaar,7861,27.621306,284.59914241564104
74,13046,Vosselaar,Vosselaar,11187,11.835021,945.2454710473264
75,13049,Westerlo,Westerlo,25051,55.396994,452.2086523322908
76,13053,Laakdal,Laakdal,16101,42.429522,379.4763466814451
77,20001,Province du Brabant flamand,Provincie Vlaams-Brabant,1146175,2118.348284,541.0701387761031
78,20002,Province du Brabant wallon,Provincie Waals-Brabant,403599,1097.179743,367.85130474287297
79,21000,Arrondissement de Bruxelles-Capitale,Arrondissement Brussel-Hoofdstad,1208542,162.419844,7440.8518702924
80,21001,Anderlecht,Anderlecht,119714,17.912044,6683.436016570749
81,21002,Auderghem,Oudergem,34013,8.972027,3791.0050872562015
82,21003,Berchem-Sainte-Agathe,Sint-Agatha-Berchem,25179,2.947761,8541.737271101694
83,21004,Bruxelles,Brussel,181726,33.075721,5494.241531424213
84,21005,Etterbeek,Etterbeek,48367,3.175347,15232.03605779148
85,21006,Evere,Evere,41763,5.128598,8143.1611524241125
86,21007,Forest (Bruxelles-Capitale),Vorst (Brussel-Hoofdstad),56289,6.304012,8929.075642622507
87,21008,Ganshoren,Ganshoren,24902,2.433709,10232.118959168907
88,21009,Ixelles,Elsene,86876,6.406543,13560.51149582544
89,21010,Jette,Jette,52536,5.189034,10124.427783668405
90,21011,Koekelberg,Koekelberg,21990,1.187699,18514.79204748004
91,21012,Molenbeek-Saint-Jean,Sint-Jans-Molenbeek,97462,6.005614,16228.482216805809
92,21013,Saint-Gilles,Sint-Gillis,50267,2.526967,19892.22653085695
93,21014,Saint-Josse-ten-Noode,Sint-Joost-ten-Node,27457,1.177186,23324.26651353312
94,21015,Schaerbeek,Schaarbeek,133309,7.898012,16878.804438382722
95,21016,Uccle,Ukkel,83024,22.865263,3631.0100609820233
96,21017,Watermael-Boitsfort,Watermaal-Bosvoorde,25184,12.97693,1940.6747204462074
97,21018,Woluwe-Saint-Lambert,Sint-Lambrechts-Woluwe,56660,7.296997,7764.8380559838515
98,21019,Woluwe-Saint-Pierre,Sint-Pieters-Woluwe,41824,8.94038,4678.100930832918
99,23000,Arrondissement de Hal-Vilvorde,Arrondissement Halle-Vilvoorde,637441,949.168915,671.5780404586891
100,23002,Asse,Asse,33158,50.22166,660.233054821366
101,23003,Beersel,Beersel,25251,30.401594,830.5814491174377
102,23009,Biévène,Bever,2159,19.241486,112.20547103274664
103,23016,Dilbeek,Dilbeek,42847,41.479972,1032.9563385433337
104,23023,Gammerages,Galmaarden,8746,35.290349,247.8297961859204
105,23024,Gooik,Gooik,9170,40.20603,228.0752414501009
106,23025,Grimbergen,Grimbergen,37542,38.669886,970.8329628900381
107,23027,Hal (Hal-Vilvorde),Halle (Halle-Vilvoorde),39540,44.982101,879.0163002835284
108,23032,Herne,Herne,6665,44.660449,149.23719195030932
109,23033,Hoeilaart,Hoeilaart,11321,20.530455,551.4247005241725
110,23038,Kampenhout,Kampenhout,11972,33.649657,355.7837157151409
111,23039,Kapelle-op-den-Bos,Kapelle-op-den-Bos,9413,15.367441,612.5287873237971
112,23044,Liedekerke,Liedekerke,13295,10.174583,1306.6874583459587
113,23045,Londerzeel,Londerzeel,18749,36.528477,513.2707832303
114,23047,Machelen (Hal-Vilvorde),Machelen (Halle-Vilvoorde),15469,11.494237,1345.8048585565098
115,23050,Meise,Meise,19411,35.069141,553.5065714897322
116,23052,Merchtem,Merchtem,16583,36.901981,449.37966880423033
117,23060,Opwijk,Opwijk,14547,19.919099,730.3041166671244
118,23062,Overijse,Overijse,25403,45.032214,564.1072855089914
119,23064,Pepingen,Pepingen,4479,35.932279,124.65115279773931
120,23077,Sint-Pieters-Leeuw,Sint-Pieters-Leeuw,34228,40.664405,841.7189431395835
121,23081,Steenokkerzeel,Steenokkerzeel,12135,23.631623,513.5068378502822
122,23086,Ternat,Ternat,15746,24.711366,637.1966648869188
123,23088,Vilvorde,Vilvoorde,44727,21.573436,2073.244150815846
124,23094,Zaventem,Zaventem,34368,27.726959,1239.5156641592032
125,23096,Zemst,Zemst,23358,43.228749,540.3348591003639
126,23097,Roosdaal,Roosdaal,11631,21.918885,530.638305734986
127,23098,Drogenbos,Drogenbos,5689,2.495508,2279.6961580567963
128,23099,Kraainem,Kraainem,13730,5.836344,2352.5001267917037
129,23100,Linkebeek,Linkebeek,4671,4.189119,1115.031585400176
130,23101,Rhode-Saint-Genèse,Sint-Genesius-Rode,18387,22.754768,808.050427057749
131,23102,Wemmel,Wemmel,16491,8.772907,1879.764597983314
132,23103,Wezembeek-Oppem,Wezembeek-Oppem,14258,6.865009,2076.9091489901907
133,23104,Lennik,Lennik,9074,31.124133,291.5422575787091
134,23105,Affligem,Affligem,13228,17.922613,738.0620225410213
135,24000,Arrondissement de Louvain,Arrondissement Leuven,508734,1169.179369,435.1205755838136
136,24001,Aarschot,Aarschot,30115,63.03534,477.74787920553774
137,24007,Begijnendijk,Begijnendijk,10114,17.655211,572.8620292331822
138,24008,Bekkevoort,Bekkevoort,6306,37.280795,169.1487533997062
139,24009,Bertem,Bertem,10007,29.990651,333.6706495634256
140,24011,Bierbeek,Bierbeek,10083,38.964848,258.7717010983849
141,24014,Boortmeerbeek,Boortmeerbeek,12516,18.778765,666.4975039625875
142,24016,Boutersem,Boutersem,8242,31.145329,264.6303720214354
143,24020,Diest,Diest,23998,58.710579,408.7508658362916
144,24028,Geetbets,Geetbets,6118,35.517686,172.25221260191333
145,24033,Haacht,Haacht,14577,30.725401,474.4283077054063
146,24038,Herent,Herent,21682,32.734081,662.3677628218736
147,24041,Hoegaarden,Hoegaarden,6886,34.128274,201.76818786675238
148,24043,Holsbeek,Holsbeek,10019,38.775008,258.38808337576614
149,24045,Huldenberg,Huldenberg,9921,39.945857,248.36117547809778
150,24048,Keerbergen,Keerbergen,12850,18.523644,693.7079982750694
151,24054,Kortenaken,Kortenaken,7875,49.444303,159.27011854126047
152,24055,Kortenberg,Kortenberg,20279,34.702112,584.3736542605822
153,24059,Landen,Landen,15951,53.301373,299.26058377520593
154,24062,Louvain,Leuven,101624,57.507536,1767.1423098357056
155,24066,Lubbeek,Lubbeek,14559,45.275023,321.5680310090621
156,24086,Oud-Heverlee,Oud-Heverlee,11112,31.182503,356.3536897599272
157,24094,Rotselaar,Rotselaar,16793,37.213589,451.2598878866535
158,24104,Tervuren,Tervuren,22422,33.584639,667.626649195187
159,24107,Tirlemont,Tienen,34975,72.771069,480.6168231498702
160,24109,Tremelo,Tremelo,14914,21.907636,680.7671991628855
161,24130,Léau,Zoutleeuw,8480,46.842658,181.03157169262258
162,24133,Linter,Linter,7269,36.874022,197.13065203464924
163,24134,Montaigu-Zichem,Scherpenheuvel-Zichem,23029,51.149678,450.2276632122689
164,24135,Tielt-Winge,Tielt-Winge,10747,44.527143,241.35840020097402
165,24137,Glabbeek,Glabbeek,5271,26.984616,195.3335189205583
166,25000,Arrondissement de Nivelles,Arrondissement Nijvel,403599,1097.179743,367.85130474287297
167,25005,Beauvechain,Bevekom,7243,38.568789,187.79433287366112
168,25014,Braine-l’Alleud,Eigenbrakel,40008,52.314613,764.7576404703595
169,25015,Braine-le-Château,Kasteelbrakel,10549,22.751678,463.65810908540465
170,25018,Chaumont-Gistoux,Chaumont-Gistoux,11798,48.32553,244.13596705509488
171,25023,Court-Saint-Etienne,Court-Saint-Etienne,10540,26.875434,392.17971326528163
172,25031,Genappe,Genepiën,15427,90.349676,170.74770694252408
173,25037,Grez-Doiceau,Graven,13668,55.553791,246.03181446249098
174,25043,Incourt,Incourt,5487,38.908151,141.02443470007097
175,25044,Ittre,Itter,6889,35.027919,196.6716892316669
176,25048,Jodoigne,Geldenaken,14123,73.732072,191.54486801889956
177,25050,La Hulpe,Terhulpen,7343,15.51678,473.229626249776
178,25068,Mont-Saint-Guibert,Mont-Saint-Guibert,7771,18.724484,415.0181121145982
179,25072,Nivelles,Nijvel,28734,60.832746,472.34428641442554
180,25084,Perwez (Nivelles),Perwijs (Nijvel),9303,51.170038,181.80561054107486
181,25091,Rixensart,Rixensart,22558,17.560503,1284.587349234814
182,25105,Tubize,Tubeke,26233,32.771622,800.4791462564776
183,25107,Villers-la-Ville,Villers-la-Ville,10702,48.03089,222.81494263379255
184,25110,Waterloo,Waterloo,30328,21.324413,1422.219687829156
185,25112,Wavre,Waver,34396,42.104922,816.9116190263932
186,25117,Chastre,Chastre,7647,31.569956,242.22396762288804
187,25118,Hélécine,Hélécine,3553,16.982539,209.2148883038043
188,25119,Lasne,Lasne,14244,47.570329,299.4303444905752
189,25120,Orp-Jauche,Orp-Jauche,8924,50.798029,175.67610743322345
190,25121,Ottignies-Louvain-la-Neuve,Ottignies-Louvain-la-Neuve,31443,33.400317,941.3982508010328
191,25122,Ramillies,Ramillies,6522,49.077298,132.89240169660522
192,25123,Rebecq,Rebecq,10979,39.256497,279.6734512506299
193,25124,Walhain,Walhain,7187,38.080727,188.73064056786518
194,30000,Province de Flandre occidentale,Provincie West-Vlaanderen,1195796,3196.575632,374.0865656451954
195,31000,Arrondissement de Bruges,Arrondissement Brugge,282209,673.222776,419.1911059170702
196,31003,Beernem,Beernem,15763,72.423439,217.65053161863798
197,31004,Blankenberge,Blankenberge,20436,19.021573,1074.3590974311114
198,31005,Bruges,Brugge,118325,140.992087,839.2314953107972
199,31006,Damme,Damme,10993,90.360061,121.6577310632847
200,31012,Jabbeke,Jabbeke,13865,53.859995,257.4266856133203
201,31022,Oostkamp,Oostkamp,23698,80.093733,295.8783304556425
202,31033,Torhout,Torhout,20463,45.335305,451.3700746030053
203,31040,Zedelgem,Zedelgem,22819,60.643748,376.2795135947072
204,31042,Zuienkerke,Zuienkerke,2721,48.908353,55.6346683765859
205,31043,Knokke-Heist,Knokke-Heist,33126,61.584482,537.8952444546014
206,32000,Arrondissement de Dixmude,Arrondissement Diksmuide,51525,365.039208,141.14922142829107
207,32003,Dixmude,Diksmuide,16743,150.763333,111.05485443201233
208,32006,Houthulst,Houthulst,10098,55.995994,180.33432891645782
209,32010,Koekelare,Koekelare,8777,39.444538,222.5149651898572
210,32011,Kortemark,Kortemark,12616,55.434023,227.5858636491167
211,32030,Lo-Reninge,Lo-Reninge,3291,63.40132,51.90743662750239
212,33000,Arrondissement d’Ypres,Arrondissement Ieper,106279,553.716502,191.9375702478161
213,33011,Ypres,Ieper,34845,131.460866,265.05986960408427
214,33016,Messines,Mesen,1065,3.596312,296.13670893960256
215,33021,Poperinge,Poperinge,19702,120.367972,163.68141518576056
216,33029,Wervik,Wervik,18767,43.77396,428.72520557884184
217,33037,Zonnebeke,Zonnebeke,12481,68.09085,183.29922449198386
218,33039,Heuvelland,Heuvelland,7909,94.79232,83.4350293357099
219,33040,Langemark-Poelkapelle,Langemark-Poelkapelle,7819,53.058624,147.36529918303196
220,33041,Vleteren,Vleteren,3691,38.575598,95.68224969577918
221,34000,Arrondissement de Courtrai,Arrondissement Kortrijk,290706,406.143109,715.7723313729792
222,34002,Anzegem,Anzegem,14716,42.353517,347.45638715198083
223,34003,Avelgem,Avelgem,10158,22.121737,459.1863649766743
224,34009,Deerlijk,Deerlijk,11946,16.976791,703.6665527660675
225,34013,Harelbeke,Harelbeke,28158,29.395927,957.8878053411958
226,34022,Courtrai,Kortrijk,76735,80.696211,950.912057072915
227,34023,Kuurne,Kuurne,13484,10.112678,1333.3757882926757
228,34025,Lendelede,Lendelede,5747,13.268796,433.1214376948745
229,34027,Menin,Menen,33385,33.163521,1006.6783922008763
230,34040,Waregem,Waregem,38266,44.497435,859.9596808220518
231,34041,Wevelgem,Wevelgem,31406,39.137351,802.4559454726509
232,34042,Zwevegem,Zwevegem,24656,63.603552,387.6513060151106
233,34043,Espierres-Helchin,Spiere-Helkijn,2049,10.815593,189.44869689530663
234,35000,Arrondissement d’Ostende,Arrondissement Oostende,157200,304.592176,516.0999276619633
235,35002,Bredene,Bredene,18095,14.2517,1269.673091631174
236,35005,Gistel,Gistel,12178,42.804257,284.50441272698646
237,35006,Ichtegem,Ichtegem,14050,45.776603,306.92535223725537
238,35011,Middelkerke,Middelkerke,19336,79.048163,244.61036494927782
239,35013,Ostende,Oostende,71494,40.952352,1745.7849551595964
240,35014,Oudenburg,Oudenburg,9381,35.620665,263.35836234388097
241,35029,De Haan,De Haan,12666,46.138436,274.5216591216919
242,36000,Arrondissement de Roulers,Arrondissement Roeselare,153315,273.834842,559.8812732530216
243,36006,Hooglede,Hooglede,9987,38.105932,262.08517875904465
244,36007,Ingelmunster,Ingelmunster,10996,16.426552,669.4040234371765
245,36008,Izegem,Izegem,28018,25.635599,1092.9333073122264
246,36010,Ledegem,Ledegem,9695,24.829751,390.4590102413834
247,36011,Lichtervelde,Lichtervelde,8926,26.159523,341.2141727507799
248,36012,Moorslede,Moorslede,11250,35.447408,317.37158327627225
249,36015,Roulers,Roeselare,62954,60.39943,1042.2946044358366
250,36019,Staden,Staden,11489,46.830647,245.33079801353162
251,37000,Arrondissement de Tielt,Arrondissement Tielt,92905,331.853556,279.9578257344333
252,37002,Dentergem,Dentergem,8555,26.089642,327.9079107333094
253,37007,Meulebeke,Meulebeke,10860,29.505345,368.0689041256762
254,37010,Oostrozebeke,Oostrozebeke,7932,16.723853,474.29261665957006
255,37011,Pittem,Pittem,6738,34.68253,194.2764844433206
256,37012,Ruiselede,Ruiselede,5358,30.620645,174.9799849088744
257,37015,Tielt (Tielt),Tielt (Tielt),20502,68.845147,297.7987685900359
258,37017,Wielsbeke,Wielsbeke,9641,21.913627,439.95455430541
259,37018,Wingene,Wingene,14263,68.544084,208.08506245411348
260,37020,Ardooie,Ardooie,9056,34.928683,259.2711554569635
261,38000,Arrondissement de Furnes,Arrondissement Veurne,61657,288.173463,213.9579382436057
262,38002,Alveringem,Alveringem,5047,80.708434,62.533737180429
263,38008,La Panne,De Panne,11176,26.627682,419.71358978975337
264,38014,Koksijde,Koksijde,21910,50.357287,435.0909531722787
265,38016,Nieuport,Nieuwpoort,11621,33.272283,349.2696909316382
266,38025,Furnes,Veurne,11903,97.207777,122.4490505528174
267,40000,Province de Flandre orientale,Provincie Oost-Vlaanderen,1515064,3007.075664,503.8330156231147
268,41000,Arrondissement d’Alost,Arrondissement Aalst,291229,472.934536,615.7913576436296
269,41002,Alost (Alost),Aalst (Aalst),86445,78.654271,1099.0502982349174
270,41011,Denderleeuw,Denderleeuw,20338,13.865242,1466.8333953348956
271,41018,Grammont,Geraardsbergen,33439,80.052715,417.7122537318066
272,41024,Haaltert,Haaltert,18633,30.525939,610.3989135272792
273,41027,Herzele,Herzele,18027,47.901041,376.33837644572276
274,41034,Lede,Lede,18701,29.896262,625.5297066904217
275,41048,Ninove,Ninove,38911,73.1184,532.1642705529662
276,41063,Sint-Lievens-Houtem,Sint-Lievens-Houtem,10342,27.05114,382.3129080696784
277,41081,Zottegem,Zottegem,26582,57.4646,462.58044082791844
278,41082,Erpe-Mere,Erpe-Mere,19811,34.404926,575.8187068909841
279,42000,Arrondissement de Termonde,Arrondissement Dendermonde,201213,346.557981,580.6041442744902
280,42003,Berlare,Berlare,14958,38.226823,391.2959232840249
281,42004,Buggenhout,Buggenhout,14517,25.636519,566.2625257352607
282,42006,Termonde,Dendermonde,45769,56.53556,809.5612743554676
283,42008,Hamme (Termonde),Hamme (Dendermonde),24865,40.524128,613.5850720834759
284,42010,Laarne,Laarne,12370,32.57841,379.6993162035839
285,42011,Lebbeke,Lebbeke,19321,27.305111,707.596464266342
286,42023,Waasmunster,Waasmunster,10801,32.239325,335.0256247610643
287,42025,Wetteren,Wetteren,25815,37.015895,697.4031020997871
288,42026,Wichelen,Wichelen,11672,23.191997,503.2770571676083
289,42028,Zele,Zele,21125,33.304213,634.3041344348837
290,43000,Arrondissement d’Eeklo,Arrondissement Eeklo,85235,335.519977,254.0385248059313
291,43002,Assenede,Assenede,14256,87.500083,162.9255597391833
292,43005,Eeklo,Eeklo,21134,30.449078,694.0768452824746
293,43007,Kaprijke,Kaprijke,6434,33.63893,191.2664879649858
294,43010,Maldegem,Maldegem,23774,95.633036,248.5961022925174
295,43014,Sint-Laureins,Sint-Laureins,6783,74.535454,91.00367189015847
296,43018,Zelzate,Zelzate,12854,13.763396,933.9264815166257
297,44000,Arrondissement de Gand,Arrondissement Gent,560522,949.67393,590.2257420081016
298,44012,De Pinte,De Pinte,10683,17.781434,600.7951889594506
299,44013,Destelbergen,Destelbergen,18271,26.710262,684.0442074285905
300,44019,Evergem,Evergem,35447,75.398354,470.1296264372031
301,44020,Gavere,Gavere,12805,31.596871,405.2616475852941
302,44021,Gand,Gent,262219,157.74244,1662.323722138443
303,44034,Lochristi,Lochristi,22489,60.664112,370.7134128988816
304,44040,Melle,Melle,11736,15.338686,765.1242094661825
305,44043,Merelbeke,Merelbeke,24660,37.001321,666.4626919671327
306,44045,Moerbeke (Gand),Moerbeke (Gent),6481,37.9275,170.87865005602794
307,44048,Nazareth,Nazareth,11619,35.434929,327.89680487295465
308,44052,Oosterzele,Oosterzele,13590,43.568789,311.9205355925775
309,44064,Sint-Martens-Latem,Sint-Martens-Latem,8392,14.45184,580.6873034852309
310,44073,Wachtebeke,Wachtebeke,7771,34.636852,224.35641668590438
311,44081,Zulte,Zulte,15720,32.761114,479.8371630464092
312,44083,Deinze,Deinze,43571,128.027316,340.3258098451427
313,44084,Aalter,Aalter,28906,119.852605,241.17957219202702
314,44085,Lievegem,Lievegem,26162,80.779505,323.86927847601936
315,45000,Arrondissement d’Audenarde,Arrondissement Oudenaarde,124342,422.875007,294.0396049464328
316,45035,Audenarde,Oudenaarde,31393,68.934618,455.4025380977668
317,45041,Renaix,Ronse,26479,34.708399,762.8989167722775
